years,Open,High,Low,Close,Adj Close,Volume
2010,3.8,6.084,3.508,4.766,4.766,179767000
2010,5.0,5.184,2.9960000000000004,3.988,3.988,322879000
2010,4.1,4.436,3.478,3.896,3.896,75191000
2010,3.924,4.632,3.9,4.082,4.082,90229500
2010,4.138,4.374,4.0,4.368,4.368,32739000
2010,4.388,7.2,4.21,7.066,7.066,141575500
2010,7.174,7.284,5.0,5.3260000000000005,5.3260000000000005,184464500
2011,5.3679999999999986,5.742000000000001,4.474,4.82,4.82,142100500
2011,4.862,5.098,4.222,4.7780000000000005,4.7780000000000005,146517500
2011,4.81,5.742000000000001,4.354,5.55,5.55,162816500
2011,5.49,5.636,4.84,5.52,5.52,149474500
2011,5.52,6.056,5.104,6.028,6.028,151744000
2011,6.0,6.3,5.1,5.8260000000000005,5.8260000000000005,198636500
2011,5.814,6.087999999999999,5.3260000000000005,5.634,5.634,105510500
2011,5.734,5.84,4.3,4.948,4.948,136078500
2011,4.932,5.398,4.458,4.878,4.878,90107500
2011,4.99,6.0,4.586,5.874,5.874,108313000
2011,5.678,7.0,5.6,6.547999999999999,6.547999999999999,129234000
2011,6.5139999999999985,7.0,5.206,5.7120000000000015,5.7120000000000015,105642500
2012,5.7879999999999985,6.0,4.5280000000000005,5.814,5.814,128049500
2012,5.814,6.994,5.8,6.682,6.682,115968000
2012,6.702000000000001,7.99,6.524,7.447999999999999,7.447999999999999,110817500
2012,7.466,7.694,6.2,6.626,6.626,113764500
2012,6.626,6.936,5.3660000000000005,5.9,5.9,170926500
2012,5.706,6.9,5.4220000000000015,6.257999999999999,6.257999999999999,130635500
2012,6.27,7.2,5.442,5.484,5.484,162717000
2012,5.598,6.26,5.104,5.704,5.704,122410500
2012,5.704,6.556,5.46,5.856,5.856,166475500
2012,5.9,6.02,5.372000000000001,5.626,5.626,88104500
2012,5.65,6.858,5.64,6.7639999999999985,6.7639999999999985,118804500
2012,6.778,7.16,6.55,6.774,6.774,108571500
2013,7.0,7.742000000000001,6.4220000000000015,7.502000000000002,7.502000000000002,142323000
2013,7.633999999999999,8.0,6.76,6.966,6.966,221280000
2013,7.0,7.898,6.85,7.5779999999999985,7.5779999999999985,148275000
2013,8.472000000000001,11.636,8.042,10.798,10.798,407740500
2013,11.198,22.98,10.6,19.552,19.552,1656104500
2013,19.524,22.049999,17.65,21.472,21.472,895573500
2013,21.872,27.497999,20.9,26.85600100000001,26.85600100000001,1147641000
2013,27.0,34.599998,26.472,33.799999,33.799999,1296333000
2013,34.68,38.900002,31.702,38.674,38.674,856053000
2013,38.792,38.846001,30.6,31.988001,31.988001,1292274000
2013,32.599998,36.285999,23.219998999999998,25.455999,25.455999,1541942500
2013,25.27,31.6,24.785999,30.086,30.086,988189500
2014,29.959999,37.200001,27.334,36.282001,36.282001,919661500
2014,36.577999,53.0,33.872002,48.96200200000001,48.96200200000001,1129770500
2014,47.452,52.0,40.599998,41.689999,41.689999,833428000
2014,41.804001,47.146,36.863997999999995,41.577999,41.577999,826039000
2014,41.416,43.731998,35.444,41.554001,41.554001,674050500
2014,41.466,48.897999,39.849998,48.012001,48.012001,616813500
2014,48.492001,48.688,42.720001,44.66,44.66,539763500
2014,45.217999,54.400002,45.200001,53.939999,53.939999,574236000
2014,55.099998,58.284,48.023998,48.535999,48.535999,664241500
2014,48.439999,53.108002,43.464001,48.34,48.34,760262500
2014,48.599998,51.998001,45.700001,48.903999,48.903999,538609000
2014,48.231998,48.493999,38.529999,44.481998,44.481998,634731000
2015,44.574001,44.650002,37.0,40.720001,40.720001,451025500
2015,40.793999,45.096001,38.655998,40.667999,40.667999,533587500
2015,40.540001000000004,41.237999,36.279999,37.754002,37.754002,614950500
2015,37.740002000000004,47.75,37.209998999999996,45.209998999999996,45.209998999999996,494725500
2015,45.987999,50.574001,44.049999,50.16,50.16,445639000
2015,50.282001,54.282001,49.13600200000001,53.652,53.652,327365500
2015,54.222,57.330002,50.158001,53.23,53.23,400305000
2015,53.257999,54.200001,39.0,49.812,49.812,576320500
